GEO_COD,N_INDIVIDUOS_RESIDENT,N_INDIVIDUOS_RESIDENT_20A64,N_INDIVIDUOS_RESIDENT_65,N_INDIV_RESIDENT_N_LER_ESCRV,N_IND_RESIDENT_ENSINCOMP_1BAS,N_IND_RESIDENT_ENSINCOMP_2BAS,N_IND_RESIDENT_ENSINCOMP_3BAS,N_IND_RESIDENT_ENSINCOMP_SEC,N_IND_RESIDENT_ENSINCOMP_POSEC,N_IND_RESIDENT_ENSINCOMP_SUP,N_IND_RESID_DESEMP_PROC_EMPRG,N_IND_RESID_EMPREGADOS,N_IND_RESID_PENS_REFORM,N_IND_RESID_SEM_ACT_ECON
11060100617,8,4,2,0,2,1,2,1,0,2,0,4,2,3
11060100618,8,5,1,0,1,2,3,0,0,1,0,5,0,1
11060100619,24,11,8,0,5,2,1,3,0,7,1,8,10,10
11060100620,1,0,1,0,0,0,0,1,0,0,0,0,1,1
11060100621,16,10,5,0,2,0,4,3,0,5,0,7,7,9
11060100622,25,12,7,0,3,2,3,2,1,9,1,12,6,6
11060100701,315,182,73,24,107,38,40,29,0,23,19,89,89,151
11060100702,530,297,108,49,189,70,80,31,1,7,32,148,135,244
11060100801,76,43,7,5,19,17,8,3,1,2,8,23,7,19
11060100802,119,38,66,10,46,10,10,7,0,6,6,27,67,74
11060100803,153,80,45,1,53,17,22,20,1,20,6,57,49,66
11060100804,53,28,11,3,13,8,11,4,1,5,3,20,12,19
11060100901,64,24,34,3,21,11,10,8,0,5,4,12,37,45
11060100902,234,120,85,27,80,36,34,19,0,2,11,69,101,135
11060100903,70,43,10,2,25,16,12,4,0,1,3,23,15,31
11060100904,52,26,18,2,17,12,7,3,0,3,5,16,18,26
11060100905,179,105,52,19,74,22,32,11,1,0,8,55,65,98
11060100906,183,110,26,16,49,34,28,21,1,1,27,52,29,69
11060101001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060101002,117,63,28,2,35,16,24,11,0,6,16,36,30,44
11060101003,14,10,3,1,6,1,1,3,1,1,2,5,5,6
11060101004,136,82,25,7,36,14,26,13,1,17,8,53,30,50
11060101005,4,1,3,0,3,0,0,1,0,0,0,0,3,4
11060101006,35,14,11,1,8,4,5,5,1,7,1,12,10,16
11060101007,15,8,4,1,1,2,1,6,0,2,0,7,5,6
11060101008,17,9,6,0,7,0,1,5,1,2,3,4,6,8
11060101009,66,35,20,3,24,13,15,5,0,0,4,16,25,40
11060101010,14,11,1,0,1,0,1,8,0,3,0,8,1,3
11060101011,2,2,0,0,0,0,1,1,0,0,0,0,2,2
11060101012,32,18,6,1,13,1,3,5,1,3,4,11,7,10
11060101013,4,3,1,0,1,0,1,1,1,0,0,2,1,1
11060101014,25,4,1,0,8,9,5,0,0,0,0,0,2,16
11060101101,98,51,33,5,32,12,16,15,0,6,7,30,35,47
11060101102,123,69,31,6,40,12,18,19,0,6,14,42,31,47
11060101103,63,44,4,1,5,6,16,9,2,12,2,37,6,9
11060101104,82,53,18,1,15,5,21,21,0,15,4,31,25,38
11060101105,52,34,9,1,25,10,4,2,1,3,7,16,13,24
11060101201,139,82,38,7,57,18,25,19,1,3,10,55,44,60
11060101202,161,87,9,17,28,16,18,14,1,19,5,36,18,71
11060101203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060101204,67,44,16,0,15,4,12,14,0,17,4,29,22,30
11060101205,25,14,8,2,8,2,2,2,0,4,2,8,9,12
11060101206,54,26,23,1,24,7,6,9,0,2,2,19,26,29
11060101301,11,4,6,2,4,0,2,0,0,0,0,3,6,7
11060101302,8,3,4,0,2,0,0,3,0,2,0,2,5,5
11060101303,286,161,101,3,70,35,51,46,2,64,10,111,116,144
11060101304,244,126,100,3,68,20,41,59,2,38,5,91,111,137
11060101401,441,235,150,8,113,42,82,78,7,68,23,172,161,200
11060101402,184,107,56,1,44,20,25,40,1,42,7,71,68,86
11060101403,10,7,2,0,2,0,2,2,0,1,0,4,4,4
11060101501,128,59,46,8,47,21,16,12,0,4,11,26,55,73
11060101502,45,30,7,0,4,6,7,10,1,10,1,24,9,13
11060101503,81,53,11,2,17,8,13,15,2,13,5,43,14,21
11060101504,77,37,34,3,20,11,17,7,0,16,5,25,35,40
11060101601,484,314,123,6,97,27,80,106,6,120,22,204,154,217
11060101701,237,141,61,11,60,35,31,30,4,33,12,106,63,90
11060101702,17,8,6,0,5,4,2,2,0,0,3,4,7,7
11060101703,136,68,54,2,30,13,28,21,4,26,8,42,55,75
11060101704,19,16,2,0,3,2,2,2,2,6,1,11,4,5
11060101801,68,38,18,2,19,10,15,13,1,3,2,30,20,29
11060101802,15,8,7,1,3,3,3,2,0,3,2,7,6,6
11060101803,25,9,12,0,10,3,0,3,1,4,0,7,13,13
11060101804,27,12,10,2,9,4,4,1,2,1,0,9,11,15
11060101805,19,10,4,2,6,2,4,3,0,1,1,7,5,9
11060101806,71,49,13,0,19,12,11,9,0,14,2,37,16,24
11060101807,59,26,27,6,24,9,7,4,0,3,1,19,27,34
11060101808,55,24,27,5,20,7,6,3,1,8,0,18,30,34
11060101809,54,37,7,1,9,4,5,10,0,18,2,26,11,15
11060101901,553,247,233,7,147,57,92,92,4,101,18,182,243,291
11060102001,561,306,170,16,152,66,107,73,1,52,37,197,203,256
11060102101,91,41,42,3,28,17,11,7,1,14,4,24,48,55
11060102102,118,65,43,6,36,7,19,21,0,19,3,42,50,67
11060102103,108,53,51,1,35,9,15,16,0,24,3,38,51,64
11060102104,71,49,11,4,15,6,24,5,1,9,0,38,16,28
11060102105,27,16,7,0,10,0,2,5,0,6,2,11,8,10
11060102201,163,82,54,4,47,21,30,25,3,18,9,48,57,89
11060102202,72,46,12,0,12,6,18,13,1,12,6,29,17,24
11060102203,136,76,41,4,29,15,32,24,0,20,4,58,50,60
11060102204,19,13,5,1,5,1,2,3,0,3,1,10,6,7
11060102205,51,33,13,1,17,8,9,8,0,4,3,19,17,24
11060102206,21,13,2,0,6,7,5,0,0,0,3,6,5,8
11060102301,181,101,54,4,35,9,27,22,1,56,8,75,57,76
11060102302,310,192,72,9,70,20,40,46,5,84,15,147,78,112
11060102401,373,198,121,5,87,46,69,66,1,55,18,145,124,167
11060102501,74,43,20,0,10,5,16,9,1,24,5,30,22,32
11060102502,83,51,24,2,18,6,10,11,1,24,3,41,26,33
11060102503,14,11,3,0,3,1,1,3,1,5,0,9,4,5
11060102504,43,23,13,1,9,8,9,3,0,8,2,15,15,19
11060102505,14,5,7,0,4,0,2,1,0,3,0,5,6,7
11060102506,234,142,58,5,60,12,33,33,0,63,18,100,64,86
11060102507,16,7,5,0,1,2,1,4,0,5,0,7,5,5
11060102508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060102601,26,14,9,1,7,3,2,2,2,4,1,9,9,12
11060102602,39,19,18,1,18,5,7,4,0,2,4,13,19,20
11060102603,132,63,59,0,38,16,17,22,2,19,2,51,60,70
11060102604,46,21,19,0,16,4,7,4,0,9,4,11,20,27
11060102605,12,8,3,1,0,2,1,3,0,2,1,6,4,5
11060102606,111,56,44,1,33,17,21,15,0,9,6,33,48,64
11060102701,423,209,162,15,124,45,60,52,8,69,24,151,171,200
11060102702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060102703,18,10,5,1,4,2,4,3,1,2,1,6,5,9
11060102801,8,3,5,0,1,0,4,3,0,0,0,3,4,5
11060102802,146,76,61,7,44,9,20,19,3,33,3,57,68,77
11060102803,299,142,126,7,84,29,39,46,3,64,10,105,130,157
11060102901,134,71,42,4,40,16,18,20,2,20,4,48,51,67
11060102902,90,44,38,3,34,12,8,9,1,10,5,29,41,49
11060102903,37,24,3,4,11,6,2,3,0,0,0,10,7,16
11060102904,203,99,68,10,43,15,21,28,0,61,1,76,82,99
11060103001,508,252,203,9,134,33,88,84,2,113,17,189,211,256
11060200101,44,25,9,1,8,4,10,8,1,5,4,16,11,16
11060200102,23,14,6,0,10,1,4,5,1,0,1,7,8,13
11060200103,168,82,73,7,80,19,30,15,4,8,13,60,76,87
11060200104,1,0,1,0,1,0,0,0,0,0,0,0,1,1
11060200105,43,27,10,0,7,6,11,7,1,8,1,21,10,16
11060200106,43,20,17,3,12,4,8,7,0,5,1,15,18,23
11060200107,22,15,4,0,2,2,4,5,1,5,0,13,4,6
11060200108,23,14,6,1,6,5,5,3,0,2,0,11,9,9
11060200109,45,28,10,0,9,6,12,6,0,11,0,16,14,25
11060200110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060200111,17,8,8,0,4,1,7,1,0,3,0,6,9,10
11060200112,13,5,5,0,2,1,3,6,0,1,0,4,6,7
11060200113,8,4,4,0,4,0,2,0,0,2,0,3,5,5
11060200114,24,13,4,0,2,5,3,7,0,3,1,11,2,7
11060200115,8,3,3,0,1,1,1,0,0,3,0,3,3,3
11060200116,10,3,6,1,3,1,0,3,0,2,0,1,7,8
11060200117,11,7,2,0,3,1,3,2,0,1,0,5,2,3
11060200118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060200119,10,5,4,0,6,2,0,2,0,0,1,1,5,8
11060200120,4,2,1,0,2,0,2,0,0,0,0,2,1,1
11060200201,25,12,11,1,12,3,2,1,0,1,2,8,12,14
11060200202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060200203,197,121,28,20,57,37,30,14,0,1,15,70,38,73
11060200204,267,172,47,29,98,43,46,8,0,1,22,98,71,110
11060200205,128,80,21,16,28,17,20,7,1,4,5,51,26,50
11060200301,244,148,51,14,76,34,54,22,1,10,20,100,58,91
11060200302,131,75,27,5,39,23,18,17,0,4,12,36,33,58
11060200303,186,89,57,13,62,19,35,20,1,5,11,56,67,86
11060200401,97,51,33,3,38,10,17,16,0,5,6,36,35,45
11060200402,117,71,25,9,30,11,24,14,2,5,4,45,35,54
11060200403,30,13,12,2,11,0,5,2,0,6,1,11,11,13
11060200404,134,70,39,4,40,18,35,13,0,2,8,39,43,69
11060200405,47,27,16,3,11,4,5,14,1,3,4,16,14,23
11060200406,50,24,22,4,17,5,10,5,0,5,2,15,21,30
11060200501,189,114,57,10,53,19,40,30,1,16,8,88,59,81
11060200502,175,102,36,4,65,33,19,23,1,5,19,55,41,73
11060200503,139,80,37,6,48,18,23,19,1,8,11,54,40,57
11060200504,73,38,20,7,26,7,13,7,2,1,4,25,21,31
11060200505,56,38,9,3,10,8,12,8,0,10,4,31,9,16
11060200601,123,89,20,3,18,8,17,30,1,38,0,67,25,45
11060200602,195,107,57,3,41,14,30,32,1,47,6,87,58,80
11060200603,100,51,42,1,24,9,20,18,0,23,2,35,38,56
11060200701,42,22,9,0,6,3,6,4,1,13,0,20,11,12
11060200702,261,129,92,16,45,34,45,38,1,50,12,84,97,136
11060200703,56,40,8,2,10,3,9,17,1,8,2,32,9,17
11060200704,140,72,48,0,22,12,19,28,0,50,3,55,43,66
11060200705,77,43,22,6,9,3,13,8,1,23,5,33,22,30
11060200801,14,5,8,0,4,0,3,3,0,3,1,3,9,9
11060200802,262,140,87,5,60,32,63,37,3,44,9,105,94,125
11060200803,182,110,42,0,19,12,29,31,5,66,10,74,49,73
11060200901,18,8,8,1,0,3,4,2,0,4,2,5,7,11
11060200902,338,224,12,0,13,8,19,27,4,183,8,197,14,37
11060200903,24,16,6,0,9,3,3,1,1,5,3,11,7,8
11060200904,34,20,9,1,10,3,6,9,0,5,2,14,7,17
11060200905,139,89,22,2,17,5,10,11,0,69,5,80,23,26
11060201001,387,203,145,8,92,28,67,61,4,103,15,149,154,194
11060201101,264,155,75,1,40,18,39,38,2,97,9,108,80,116
11060201102,173,85,69,3,37,10,27,22,3,47,6,65,69,84
11060201201,513,264,179,20,154,59,79,81,8,50,12,201,189,241
11060201202,74,33,17,5,25,10,7,9,1,4,4,18,16,33
11060201203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060201301,242,139,60,3,46,19,38,45,3,60,10,94,70,108
11060201302,276,148,100,22,59,17,27,43,2,79,6,107,108,139
11060201303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060201304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060201305,8,4,3,0,3,3,1,0,0,1,2,2,3,4
11060201306,24,15,8,2,9,2,1,1,0,7,0,13,10,10
11060201401,163,67,70,2,42,21,13,28,4,28,3,59,64,79
11060201402,110,61,31,1,23,12,5,19,1,39,1,47,30,50
11060201403,75,49,11,1,5,2,9,11,1,42,2,41,7,26
11060201404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060201405,124,66,43,1,20,13,12,18,3,37,4,44,46,64
11060201501,833,481,133,6,87,49,85,118,4,350,30,382,135,241
11060201601,189,116,46,3,25,14,28,28,4,59,11,84,46,71
11060201602,190,112,27,0,19,12,14,27,5,79,6,89,32,48
11060201603,182,95,66,1,29,16,21,32,0,63,12,71,65,83
11060201701,195,105,66,1,32,10,28,47,2,56,5,78,75,93
11060201702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060201703,241,143,64,6,41,23,39,35,3,68,7,108,72,93
11060201801,106,63,23,6,19,15,12,15,1,16,3,42,29,44
11060201802,388,204,119,9,99,43,72,72,1,42,17,156,125,159
11060201901,195,91,87,9,68,14,22,30,1,29,9,62,84,108
11060201902,243,138,75,5,54,23,45,39,3,49,11,83,92,126
11060201903,52,27,15,4,18,4,7,7,0,6,5,9,16,27
11060202001,176,129,32,2,42,17,34,33,3,27,12,56,42,92
11060202002,4,3,1,0,2,0,0,0,0,2,0,4,0,0
11060202003,220,118,71,2,35,16,39,31,5,72,7,85,71,101
11060202004,125,31,85,0,13,6,24,30,1,44,2,19,77,97
11060202005,17,6,4,0,3,1,0,1,0,6,0,6,4,4
11060202006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060202007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060202101,142,76,51,7,35,5,25,22,2,39,9,51,57,74
11060202102,212,112,60,11,66,23,27,27,0,28,9,80,64,85
11060202103,203,127,50,8,55,24,30,30,0,43,13,87,60,84
11060202201,202,114,63,1,37,14,30,36,5,61,7,90,66,83
11060202202,226,131,65,6,72,22,38,36,4,25,8,97,77,99
11060202301,632,329,241,12,164,72,114,93,8,106,27,237,248,314
11060202401,344,200,112,2,62,26,48,53,8,114,12,150,122,153
11060202402,67,38,21,7,25,7,14,9,0,2,7,22,26,33
11060202403,54,34,9,0,6,0,7,6,1,26,3,28,8,15
11060202404,35,18,14,2,14,6,1,4,1,4,1,13,16,19
11060202501,460,253,164,6,91,35,67,93,6,132,12,184,175,226
11060202502,32,15,17,2,12,3,3,1,1,9,2,8,18,22
11060202601,84,54,7,0,6,3,5,11,1,37,4,43,8,17
11060202602,154,80,58,3,46,17,25,27,2,26,4,59,63,79
11060202603,167,93,51,5,31,11,27,30,4,39,6,60,57,78
11060202701,202,133,49,3,32,13,23,42,8,66,9,108,51,70
11060202702,131,79,30,3,26,6,15,23,1,46,4,62,33,46
11060300101,56,35,3,4,14,12,11,1,0,0,12,11,4,18
11060300102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060300103,142,91,19,5,39,23,32,10,0,2,5,57,23,56
11060300201,40,28,1,0,0,0,1,7,0,22,1,21,2,8
11060300202,305,185,64,2,39,12,39,45,1,129,6,144,59,109
11060300203,128,83,24,0,14,5,9,15,3,68,1,73,24,38
11060300204,301,152,90,11,44,22,27,48,6,116,5,113,96,145
11060300301,554,334,127,2,64,33,58,87,4,253,15,264,125,203
11060300401,267,181,26,0,10,12,28,36,1,139,2,148,28,77
11060300402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060300403,454,309,72,1,26,28,45,106,5,213,11,236,75,153
11060300501,554,333,130,3,63,34,79,83,6,236,16,228,150,252
11060300601,487,374,44,2,26,19,34,77,7,276,15,316,59,95
11060300701,296,189,49,0,13,16,32,52,3,148,2,143,58,109
11060300702,101,67,26,2,26,7,15,20,0,20,7,47,34,40
11060300801,437,264,51,39,129,66,80,38,2,10,34,143,54,173
11060300802,183,116,28,11,76,25,25,14,1,3,20,64,37,77
11060300803,291,168,45,26,98,39,43,14,1,2,31,102,55,97
11060300804,336,199,39,38,108,50,58,17,1,1,34,115,50,113
11060300901,295,178,72,0,50,32,34,42,7,95,11,133,74,113
11060300902,15,0,0,0,1,0,0,0,0,0,0,0,0,0
11060300903,194,104,75,4,57,10,28,31,4,45,7,81,73,91
11060301001,294,170,89,5,45,14,58,55,4,87,14,111,99,136
11060301002,272,169,68,1,38,21,39,54,1,92,11,127,69,101
11060301101,130,78,40,2,24,8,24,27,0,38,7,54,43,57
11060301102,102,51,41,5,34,17,15,15,1,7,12,29,45,54
11060301103,228,123,70,6,34,20,38,44,2,63,12,89,70,99
11060301201,322,216,71,8,53,15,50,64,7,91,19,160,70,111
11060301202,284,165,93,9,77,21,43,54,1,53,9,125,108,129
11060301301,453,287,75,3,44,24,47,91,6,194,10,223,71,147
11060301401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060301402,95,59,11,0,10,7,11,20,0,36,0,48,15,31
11060301403,298,144,127,17,129,33,30,38,4,22,14,93,140,167
11060301404,94,59,10,0,9,6,15,15,1,29,2,39,13,28
11060301501,67,34,24,1,15,8,12,11,1,13,4,22,25,35
11060301502,282,162,79,2,54,26,43,51,1,61,24,103,84,119
11060301503,154,90,46,2,31,13,24,26,1,37,7,61,54,70
11060301601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060301602,380,266,69,4,25,19,45,85,8,174,13,191,73,143
11060301701,210,131,56,4,28,7,24,35,5,89,9,102,55,77
11060301702,184,117,39,0,22,11,23,25,2,81,7,102,37,53
11060301801,148,87,43,2,13,9,18,26,4,60,6,71,40,54
11060301802,198,111,46,1,15,14,28,31,2,78,4,81,50,80
11060301803,210,113,62,3,28,22,33,38,4,61,10,78,65,97
11060301901,220,136,59,3,36,16,40,37,3,72,8,104,61,88
11060301902,174,93,63,4,45,13,22,33,1,45,4,67,69,85
11060301903,98,38,57,12,48,9,7,4,1,5,4,19,58,72
11060301904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060400101,732,391,255,10,68,42,107,162,9,289,27,281,230,357
11060400201,827,425,267,9,83,53,107,139,6,344,21,325,253,377
11060400301,124,57,41,1,12,4,25,21,1,48,2,35,38,68
11060400302,282,151,114,2,48,15,40,65,2,97,8,124,102,136
11060400401,387,179,163,5,47,23,48,67,1,171,15,120,165,219
11060400402,211,112,61,2,17,11,25,32,1,96,6,87,58,88
11060400501,127,71,31,0,7,5,10,19,2,69,7,57,27,44
11060400502,249,108,95,1,12,21,31,34,1,131,2,99,66,119
11060400503,39,15,14,0,1,4,5,2,1,23,1,16,11,17
11060400601,42,20,17,0,4,2,5,10,0,19,1,11,15,27
11060400602,183,104,35,1,11,13,28,26,0,82,6,72,38,78
11060400603,27,13,10,0,2,2,7,6,0,9,1,9,9,14
11060400604,247,142,66,4,31,11,26,51,1,94,6,108,63,103
11060400701,667,337,191,3,108,43,85,100,5,233,28,257,182,271
11060400801,564,332,163,5,82,41,70,105,3,210,27,247,154,226
11060400901,204,106,69,3,33,12,36,44,3,59,10,69,74,103
11060401001,583,318,154,6,61,35,85,91,4,250,9,256,129,239
11060401101,268,144,109,3,58,24,38,46,5,77,7,102,106,144
11060401102,225,143,48,2,26,15,21,34,4,99,6,120,49,69
11060401201,186,95,53,4,22,8,24,30,2,69,3,79,46,72
11060401202,240,137,75,2,29,26,38,42,0,85,8,105,71,101
11060401203,1,1,0,0,0,0,1,0,0,0,0,0,0,1
11060401301,243,128,72,2,32,9,25,34,0,108,4,100,73,100
11060401302,329,165,94,1,47,21,38,45,2,133,5,136,89,130
11060401401,61,22,32,0,12,1,8,11,0,23,3,17,24,35
11060401402,390,197,132,5,70,32,47,53,2,135,13,148,131,174
11060401501,386,206,111,4,42,37,49,58,3,165,7,166,91,169
11060401502,181,117,49,2,33,10,28,37,2,56,6,85,60,74
11060401601,108,58,33,1,13,5,12,12,2,49,5,44,33,41
11060401602,101,51,31,1,11,4,23,20,0,32,4,43,28,39
11060401603,84,44,29,0,10,3,16,11,2,35,1,41,25,33
11060401604,114,59,42,0,16,10,11,16,0,51,2,46,41,52
11060401701,404,211,120,6,55,40,50,62,7,124,10,159,122,170
11060401702,53,32,18,1,14,5,5,6,0,18,0,26,18,25
11060500101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060500102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060500103,135,98,0,0,4,10,26,38,5,22,5,88,0,5
11060500104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060500105,125,86,5,0,16,11,23,27,2,18,4,71,7,19
11060500106,154,99,4,1,13,15,31,36,2,21,8,83,3,19
11060500107,82,50,5,2,16,10,16,15,1,4,5,30,6,23
11060500108,75,49,3,2,8,15,9,12,0,1,10,30,4,17
11060500201,139,99,3,1,7,17,25,32,2,26,9,83,3,12
11060500202,97,57,25,5,27,4,25,16,0,5,9,36,25,39
11060500301,120,69,26,4,32,18,32,13,2,3,9,45,29,48
11060500401,88,49,16,1,31,8,10,13,1,4,5,28,19,36
11060500402,212,133,33,16,66,34,31,23,2,6,22,75,34,76
11060500403,100,49,34,6,37,18,16,10,0,3,6,30,32,51
11060500501,324,210,73,11,68,47,62,50,5,50,11,139,91,143
11060500502,115,60,24,12,42,10,18,4,1,1,9,25,31,55
11060500503,120,70,14,12,35,23,11,6,0,0,14,31,17,37
11060500504,154,88,18,12,51,27,17,7,0,1,17,39,22,61
11060500505,159,92,18,13,46,25,24,8,0,2,25,42,22,54
11060500601,233,115,47,28,66,43,19,7,0,3,16,53,53,104
11060500602,266,151,35,34,94,32,23,5,0,2,25,51,42,129
11060500603,26,19,3,0,6,2,7,6,0,0,1,12,6,9
11060500604,45,27,13,1,15,3,2,10,0,6,1,13,16,26
11060500701,159,106,1,0,15,11,38,34,3,24,11,83,5,21
11060500702,403,219,32,53,119,65,44,16,0,1,30,76,35,160
11060500703,111,82,0,0,2,6,15,26,6,31,5,77,0,4
11060500801,346,236,6,8,47,45,46,53,9,57,30,166,13,61
11060500802,45,27,5,1,7,7,13,9,0,3,2,20,5,15
11060500803,377,237,16,21,67,48,55,47,4,34,27,160,19,82
11060500901,34,21,5,3,12,8,2,0,0,1,2,13,7,12
11060500902,149,104,6,3,20,19,38,20,1,19,13,78,9,22
11060500903,25,13,4,0,7,7,3,1,0,0,3,7,5,11
11060500904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11060501001,148,82,12,20,36,19,8,4,0,0,26,20,17,45
11060501002,50,31,9,2,12,6,13,9,1,2,5,20,9,20
11060501003,128,64,20,18,35,26,12,2,0,1,11,30,22,58
11060501004,105,63,26,3,38,10,12,15,1,5,9,37,32,44
11060501005,75,52,11,2,21,16,16,12,0,1,6,37,18,21
11060501006,18,12,6,1,5,2,6,1,1,0,2,9,7,7
11060501007,61,36,9,0,17,13,10,5,1,2,3,23,11,19
11060501008,35,29,5,0,10,1,10,6,0,5,6,15,8,12
11060501101,139,87,7,2,23,18,35,24,4,4,9,62,10,36
